UBIGEO,CODE
AMAZONAS,vpMnsoZFbno%253D
ANCASH,Y7sH7V7FFM4%253D
APURIMAC,eroSP0lHOi0%253D
AREQUIPA,1b3rHOvtR0M%253D
AYACUCHO,NQU76YggS7E%253D
CAJAMARCA,DSLvg3vDZ1U%253D
CUSCO,m%252Fl3OfbO0PI%253D
HUANCAVELICA,BlhKLe32Qkc%253D
HUANUCO,2OzmPamA8oA%253D
ICA,DTF6o1jfjF4%253D
JUNIN,rV56pdRI0NU%253D
LA LIBERTAD,JiNUq%252ByQmnQ%253D
LAMBAYEQUE,mNP3OwKEjhI%253D
LIMA + RESIDENTES EN EL EXTRANJERO,bOisSFTRCG0%253D
LIMA PROVINCIAS,0LIlu01Lhe4%253D
LORETO,DRRnZ%252B8pFlY%253D
MADRE DE DIOS,MBfsLunouC0%253D
MOQUEGUA,6p7BVqjTguM%253D
PASCO,r7cTBvRKPfY%253D
PIURA,O8BWqX4H3i4%253D
PUNO,A%252BOW72SA8GI%253D
SAN MARTIN,%252BKXcDQEpdhA%253D
TACNA,v1Rj%252BMZfL2E%253D
TUMBES,2zHEqnQZuiA%253D
CALLAO,ZUDblFaAMX8%253D
UCAYALI,DVSQ0MQ%252FnUQ%253D
