ID,PARTIDO,CODE
4,ACCION POPULAR,U3DdD93Li0Q%253D
1257,ALIANZA PARA EL PROGRESO,TvhA1Fqe%252Bj0%253D
2173,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,d0s64MMWfhA%253D
2191,DEMOCRACIA DIRECTA,KyEXEkG4zl0%253D
2160,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",hba%252Fly5ruTU%253D
2646,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,pqSlyhiWe90%253D
1366,FUERZA POPULAR,QLRyYz%252BgV0g%253D
1264,JUNTOS POR EL PERU,oGxJTCuoUQk%253D
32,PARTIDO APRISTA PERUANO,AXc%252FfSWg898%253D
14,PARTIDO DEMOCRATICO SOMOS PERU,%252BGrDDfFkv0I%253D
2840,PARTIDO MORADO,Sps4IT%252FrgCU%253D
2235,PARTIDO POLÍTICO CONTIGO,WUS%252BXnEtZPg%253D
2218,PARTIDO POLITICO NACIONAL PERU LIBRE,gDZoqKljips%253D
15,PARTIDO POPULAR CRISTIANO - PPC,L4BTYbZgGIU%253D
2649,PERU NACION,6u0o6dnMUw8%253D
55,PERU PATRIA SEGURA,CzJHRVcHer4%253D
2731,PODEMOS PERU,sSSsZK9xNwY%253D
5,RENACIMIENTO UNIDO NACIONAL,4ifGMqWhPYg%253D
22,SOLIDARIDAD NACIONAL,XnZblJZsXM8%253D
47,UNION POR EL PERU,f2S%252FfiM3VEM%253D
2190,VAMOS PERU,H9%252B54TcBdIo%253D
